run_root,run_dir,task,setting,seed,epoch,step,agent_id,update_attempt_id,candidate_id,parent_id,candidate_generation,parent_generation,candidate_pool_source,candidate_source,generation_batch_type,parent_is_current_active,parent_is_existing_beam,parent_is_nonactive_beam,candidate_prompt_hash,parent_prompt_hash,active_prompt_before_hash,initial_prompt_hash,candidate_char_length,parent_char_length,candidate_word_count,parent_word_count,prompt_change_ratio_parent,prompt_change_ratio_active_before,prompt_change_ratio_initial,parent_to_initial_ratio,active_before_to_initial_ratio,distance_reconstruction_available,distance_reconstruction_reason,agent_accept_count_before,prompt_max_change_ratio,prompt_large_shift_warmup_accepts,prompt_large_shift_min_vote_delta,large_shift,large_shift_warmup_exempt,large_shift_supported,large_shift_vote_support_passed,large_shift_accuracy_support_passed,large_shift_vote_loss_support_passed,large_shift_pivotal_loss_support_passed,large_shift_shared_error_support_passed,mechanism_contract_passed,behavior_cycle_guard_passed,prompt_trust_region_passed,error_dependence_guard_passed,accuracy_guard_passed,invalid_guard_passed,exact_prompt_cycle,matched_behavior_archive,max_behavior_cycle_similarity,behavior_cycle_overlap,rejection_reason,vote_delta,accuracy_delta,vote_gain_rate,vote_loss_rate,vote_margin_delta,pivotal_rescue_rate,pivotal_loss_rate,shared_error_rescue_score,shared_error_creation_score,boundary_shared_error_net_gain,optimizer_schema_valid,optimizer_redundant_filtered,original_accuracy_invalid_dependence_feasible,trajectory_feasible,pareto_feasible,pareto_rank,pareto_selected,retained_in_beam,became_active_top1,active_prompt_changed,candidate_outcome,preserved_mechanism_count,modified_mechanism_present,target_residual_family,proposal_metadata_available,behavior_transition_l1
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,0,01ab05323299_e1_s10_a0,g1_a0_p26b37815e849_0_a848ee48f01a,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,pivotal_error_repair,True,True,False,2eae48547773a746b72d178236c9d372642035ca8386d1cd8a486183a5602196,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.5214446952595937,0.5214446952595937,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.04166666666666666,0.16666666666666666,0.041666666666666664,0.0,0.06666666666666665,0.041666666666666664,0.0,0.14583333333333334,0.0,0.3958333333333333,True,False,True,True,True,0,True,True,True,True,active_top1,4,,,True,3.05
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,0,01ab05323299_e1_s10_a0,g1_a0_p26b37815e849_1_13b7fc6180eb,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,near_boundary_shared_error_repair,True,True,False,2519d6411f3536de9f26fe8e09280bea22df968eea260550cc6cf592e951409d,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.1923076923076923,0.1923076923076923,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.04166666666666666,0.0,0.041666666666666664,0.0,-1.1102230246251565e-16,0.041666666666666664,0.0,0.020833333333333332,0.0,0.20833333333333334,True,False,True,True,True,1,True,True,False,True,retained_nonactive_beam,,,,False,3.08
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,0,01ab05323299_e1_s10_a0,g0_00bcb3ee9efb,,0,,existing_beam,existing_beam,,True,True,False,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,171,171,26,26,0.0,0.0,0.0,0.0,0.0,True,,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,True,True,False,True,retained_nonactive_beam,,,,False,0.0
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,2,01ab05323299_e1_s10_a2,g1_a2_p26b37815e849_0_1809c81c5c68,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,pivotal_error_repair,True,True,False,ed618147ac2c3fa64d0a822f6b96164f78ae408576c91cf8156443544611e3a1,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.20190023752969122,0.20190023752969122,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.20833333333333334,0.0,0.0,0.08333333333333331,0.0,0.0,0.16666666666666666,0.0,0.2708333333333333,True,False,True,True,True,0,True,True,True,True,active_top1,4,,,True,1.0999999999999999
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,2,01ab05323299_e1_s10_a2,g1_a2_p26b37815e849_1_ea5816621103,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,near_boundary_shared_error_repair,True,True,False,ef207f416e0e4bab9b4bdc48d3f7b8a74addf83dcf3c9ce219473f6207fd6e96,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.22758620689655173,0.22758620689655173,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.12499999999999997,0.0,0.0,0.04999999999999999,0.0,0.0,0.125,0.0,0.20833333333333331,True,False,True,True,True,1,True,True,False,True,retained_nonactive_beam,,,,False,1.23
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,10,2,01ab05323299_e1_s10_a2,g0_00bcb3ee9efb,,0,,existing_beam,existing_beam,,True,True,False,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,171,171,26,26,0.0,0.0,0.0,0.0,0.0,True,,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,True,True,False,True,retained_nonactive_beam,,,,False,0.0
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,1,01ab05323299_e1_s20_a1,g1_a1_p26b37815e849_0_87c57529ede7,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,pivotal_error_repair,True,True,False,fb66afeb99d183538b53d03be0273c718f6f7d18345df7724a857de405e8703c,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.3187250996015937,0.3187250996015937,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.041666666666666685,0.0,0.0,0.016666666666666663,0.0,0.0,0.03125,0.0,0.05208333333333333,True,False,True,True,True,1,True,True,False,True,retained_nonactive_beam,,,,False,0.06428571428571428
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,1,01ab05323299_e1_s20_a1,g1_a1_p26b37815e849_1_31253c0a7cda,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,near_boundary_shared_error_repair,True,True,False,37fc5834343822b70da9b2c0e20829404c56f6243f0683ea013dcc1a78ee169b,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.3460803059273423,0.3460803059273423,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.041666666666666685,0.08333333333333331,0.041666666666666664,0.0,0.0333333333333333,0.041666666666666664,0.0,0.0625,0.0,0.2708333333333333,True,False,True,True,True,0,True,True,True,True,active_top1,4,,,True,2.9642857142857144
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,1,01ab05323299_e1_s20_a1,g0_00bcb3ee9efb,,0,,existing_beam,existing_beam,,True,True,False,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,171,171,26,26,0.0,0.0,0.0,0.0,0.0,True,,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,True,True,False,True,retained_nonactive_beam,,,,False,0.0
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,01ab05323299_e1_s20_a4,g1_a4_p26b37815e849_0_0525e8671511,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,pivotal_error_repair,True,True,False,c369bf8b19e92becc2ad15ec860034276e5092cd519715bc9a151052bd9205f6,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.4035087719298246,0.4035087719298246,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.08333333333333337,0.0,0.0,0.033333333333333354,0.0,0.0,0.03125,0.0,0.05208333333333333,True,False,True,True,True,0,True,True,True,True,active_top1,4,,,True,0.96
