accepted,active_prompt_changed,agent_id,baseline_plurality_margin_votes,beam_slot,candidate_id,candidate_plurality_margin_votes,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_reward_component_missing,candidate_target_accuracy,candidate_type,competence_reward_component,declared_mechanism,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_metric_missing,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,hard_guard_passed,hard_rejection_reason,is_top1,mechanism_signature,mechanism_signature_distance,metric_missing,penalized_reward,plurality_margin_vote_delta,plurality_metric_missing,plurality_pivotal_fix_opportunity_rate,plurality_pivotal_fix_rate,plurality_pivotal_loss_rate,plurality_vote_gain_rate,plurality_vote_loss_rate,plurality_vote_net_delta,raw_reward,reward,setting_seed,soft_guard_penalty,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
True,True,0,0.0,explore,g1_a0_p26b37815e849_0_ea42a2c264f1,0.0,311,True,False,False,False,0.5,task_specific_repair,0.0,Added mandatory pre-reasoning entity-constraint listing and mapping step.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""list_each_entity_and_its"", ""extract_constraints"", ""produce_a_compact_explicit_reasoning"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,10,disambiguation_qa,0.0,0.0
True,True,0,0.0,exploit,g1_a0_p26b37815e849_1_1ecfa422ebec,0.4,325,True,False,False,False,0.7,mechanism_alternative,0.36,Embedded entity constraint binding and option verification within the reasoning trace.,0.2,0.0,0.2,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,"[""produce_a_compact_explicit_reasoning"", ""for_each_entity_explicitly_state"", ""final_consistency_check"", ""make_decision_procedure_visible"", ""give_exactly_one_final_answer""]",1.0,False,0.36,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.1,10,disambiguation_qa,0.0,0.0
True,True,0,0.0,safe,g0_00bcb3ee9efb,0.0,171,True,False,False,False,0.5,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,10,disambiguation_qa,0.0,0.0
True,False,3,0.4,safe,g0_00bcb3ee9efb,0.4,171,True,False,False,False,0.5,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,10,disambiguation_qa,0.0,0.0
True,True,4,-1.0,explore,g1_a4_p26b37815e849_0_663deee57628,-1.0,387,True,False,False,False,0.4,task_specific_repair,0.0,Added antecedent table creation step before option evaluation.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""identify_ambiguous_pronouns"", ""create_antecedent_table_with_pronoun"", ""enumerate_candidates"", ""evaluate_answer_options"", ""final_consistency_check"", ""produce_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,4,-1.0,exploit,g1_a4_p26b37815e849_1_f9e529b2744b,-1.0,387,True,False,False,False,0.4,mechanism_alternative,0.0,Added elimination step after antecedent enumeration.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,"[""identify_ambiguous_pronouns"", ""list_all_possible_referents_with"", ""apply_elimination_rules_based_on"", ""evaluate_answer_options"", ""final_consistency_check"", ""produce_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,4,-1.0,safe,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,2,-1.0,explore,g1_a2_p26b37815e849_0_66b22a20f6ba,-1.0,429,True,False,False,False,0.4,task_specific_repair,0.0,Added explicit listing and simultaneous checking of all constraints before option evaluation.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""extract_constraints"", ""produce_reasoning_trace"", ""make_decision_visible"", ""final_consistency_check"", ""give_one_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,2,-1.0,exploit,g1_a2_p26b37815e849_1_3880b682a2b0,-1.0,378,True,False,False,False,0.4,mechanism_alternative,0.0,Changed to extract logical conditions and test options holistically.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,"[""extract_complete_set_of_logical"", ""test_each_option_against_entire"", ""avoid_piecemeal_elimination"", ""produce_reasoning_trace"", ""make_decision_visible"", ""final_consistency_check"", ""give_one_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,2,-1.0,safe,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
