trajectory,seed,arm,update_index,target_member,critic_branch_outcome,teacher_plan_count,first_plan_unsafe,final_plan_unsafe,final_output_contract_unsafe,final_anti_cheating_unsafe,final_preservation_output_unsafe,any_plan_unsafe,final_output_fields,final_anti_fields,selected_case_count,selected_pattern_count,context_characters,context_mode,module2_context_variant
seed59/HYBRID_BASE,59,HYBRID_BASE,0,3,blocked,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,0,4,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4902,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,1,1,blocked,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4888,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,1,2,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4896,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,2,2,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule|preservation_rule,3,3,5248,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,2,3,passed,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4915,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,3,0,passed,1,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4854,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,3,1,blocked,2,True,True,False,True,False,True,,failure_pattern|repair_rule|preservation_rule,3,3,4894,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,4,2,passed,2,True,True,False,True,False,True,,preservation_rule,3,3,5190,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,4,4,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule,3,3,4907,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,5,0,passed,2,True,True,True,True,True,True,preservation_rule,failure_pattern,3,3,5306,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,5,4,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|preservation_rule,3,3,4907,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,6,1,passed,2,True,True,False,True,False,True,,preservation_rule,3,3,4874,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,6,4,blocked,2,True,True,False,True,False,True,,failure_pattern|preservation_rule,3,3,4862,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,7,3,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,5398,generic_peer_state,c0_current_v15
seed59/HYBRID_BASE,59,HYBRID_BASE,7,4,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4862,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,0,3,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,0,4,passed,1,True,True,True,False,False,True,repair_rule,,3,3,4902,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,1,0,passed,2,True,True,True,False,True,True,preservation_rule,,3,3,4864,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,1,2,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4866,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,2,0,blocked,2,True,True,False,True,False,True,,failure_pattern|repair_rule|preservation_rule,3,3,5052,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,2,1,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|preservation_rule,3,3,4910,generic_peer_state,c0_current_v15
