task_id,agent_id,prompt_hash,accuracy,correct,total,prompt_preview,full_prompt
boolean_expressions,0,00bcb3ee9efb,0.9800,98,100,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
boolean_expressions,1,b22fd4028486,0.9800,98,100,base solver + distinct decision procedure repeated x1,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
boolean_expressions,2,00bcb3ee9efb,0.9800,98,100,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
boolean_expressions,3,00bcb3ee9efb,0.9800,98,100,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
boolean_expressions,4,4e7f4fa02b07,0.9600,96,100,base solver + distinct decision procedure repeated x3,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
disambiguation_qa,0,9aa56bc033b1,0.6900,69,100,base solver + distinct decision procedure repeated x11,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
disambiguation_qa,1,3ed6e151874c,0.7100,71,100,base solver + distinct decision procedure repeated x10,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
disambiguation_qa,2,b22fd4028486,0.5100,51,100,base solver + distinct decision procedure repeated x1,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
disambiguation_qa,3,3ed6e151874c,0.6700,67,100,base solver + distinct decision procedure repeated x10,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
disambiguation_qa,4,00bcb3ee9efb,0.4400,44,100,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
formal_fallacies,0,b22fd4028486,1.0000,100,100,base solver + distinct decision procedure repeated x1,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
