agent_id,candidate_id,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_target_accuracy,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,reward,setting_seed,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
0,g1_a0_p26b37815e849_0_42e54e004b3d,298,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.570353994190693,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_1_d2b318e05ad1,281,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.4771895983070136,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.4675234320014716,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_0_0c0e488747ea,252,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.6150353246927263,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_1_01d81fef2a40,225,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.48235099494457245,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.4780047917366028,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_0_02acf9bfb99c,264,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.39088561476767064,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.39065205165743827,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_1_fe7eb78ce9b3,256,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.39017065764963627,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
4,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.39849881675839427,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
