run_dir,run_name,setting,seed,baseline_only,init_mode,diversity_reward_enabled,agents,epochs,train_size,test_size,lambda_diversity,latest_prompt_cosine_diversity,latest_prompt_embedding_cosine_diversity,latest_trace_cosine_diversity,latest_trace_embedding_cosine_diversity,latest_reasoning_summary_cosine_diversity,latest_summary_embedding_cosine_diversity,latest_test_mean_family_diversity,latest_test_mean_family_homogeneity_rate,latest_test_mean_llm_direct_diversity_score,latest_test_vote_acc,disagreement_rate,prompt_drift_cosine_distance,update_applied_rate,all_same_pair_rate,embedding_model,embedding_status,all_agents_shared_origin,all_same_pair_rate_from_preds,eval_size,latest_prompt_cosine_similarity,latest_prompt_count,latest_prompt_diversity_rate,latest_prompt_embedding_cosine_similarity,latest_prompt_embedding_text_count,latest_prompt_exact_diversity_rate,latest_reasoning_summary_cosine_similarity,latest_reasoning_summary_count,latest_summary_embedding_cosine_similarity,latest_summary_embedding_text_count,latest_test_prediction_file,latest_trace_cosine_similarity,latest_trace_count,latest_trace_embedding_cosine_similarity,latest_trace_embedding_text_count,latest_train_mean_llm_direct_diversity_score,latest_train_vote_acc,mean_family_diversity_from_preds,mean_family_homogeneity_rate_from_preds,mean_llm_direct_diversity_score_from_preds,mean_selected_agents,mean_trace_embedding_chunks,mean_updated_agents,mean_vote_acc_from_preds,prompt_embedding_status,reasoning_summary_cosine_window_used,summary_embedding_cosine_window_used,summary_embedding_model,summary_embedding_status,test_reasoning_summary_snapshot_count,test_summary_embedding_snapshot_count,test_trace_embedding_snapshot_count,test_trace_snapshot_count,trace_cosine_window_used,trace_embedding_chunk_overlap,trace_embedding_chunk_words,trace_embedding_cosine_window_used,trace_embedding_model,trace_embedding_status,train_steps,update_every,update_ready_rate,update_requested_rate,update_selected_rate
prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,1,shared,0,5,2,500,100,0.0,0.47541310416482196,0.17477623307997503,0.17625142907387759,0.0444278533607271,0.183067223513173,0.05955455078922374,0.5821212963712198,0.507732692722299,0.0,0.88,0.13,4.4408920985006264e-17,,0.04,BAAI/bge-small-en-v1.5,ok,0,0.04,100,0.524586895835178,5,1.0,0.825223766920025,5,1.0,0.8169327764868269,5,0.9404454492107762,5,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42\test_epoch1_predictions.jsonl,0.8237485709261224,5,0.9555721466392729,5,0.0,0.0,0.5821212963712198,0.5077326927222992,0.0,,1.084,,0.88,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,42,1,shared,0,5,2,500,100,0.0,0.47541310416482196,0.17477623307997503,0.07866365155201084,0.030021294099438836,0.1342445214844313,0.04022070704033168,0.4180456846033791,0.8226993773742212,0.0,0.8,0.43,4.4408920985006264e-17,,0.17,BAAI/bge-small-en-v1.5,ok,0,0.17,100,0.524586895835178,5,1.0,0.825223766920025,5,1.0,0.8657554785155687,5,0.9597792929596684,5,prove_experiments\runs\P4_mixed_strategy_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,0.9213363484479892,5,0.9699787059005611,5,0.0,0.0,0.4180456846033791,0.822699377374221,0.0,,1.716,,0.8,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_mixed_strategy_gpt4omini_seed42,P4_mixed_strategy_gpt4omini_seed42,P4_mixed_strategy_gpt4omini_seed42,42,1,shared,0,5,2,500,100,0.0,0.47541310416482196,0.17477623307997503,0.1408714759136365,0.04543990392805818,0.17940624304383146,0.057546582646287855,0.48051830103796556,0.6994929362065916,0.0,0.86,0.17,4.4408920985006264e-17,,0.07,BAAI/bge-small-en-v1.5,ok,0,0.07,100,0.524586895835178,5,1.0,0.825223766920025,5,1.0,0.8205937569561685,5,0.9424534173537121,5,prove_experiments\runs\P4_mixed_strategy_gpt4omini_seed42\test_epoch1_predictions.jsonl,0.8591285240863635,5,0.9545600960719418,5,0.0,0.0,0.48051830103796567,0.6994929362065918,0.0,,1.046,,0.86,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,42,1,shared,0,5,2,500,100,0.0,0.47541310416482196,0.17477623307997503,0.6139019431878475,0.2560162568993417,0.2754577894353096,0.16305124216861241,0.5777177571243666,0.4991237238872602,0.0,0.71,0.81,4.4408920985006264e-17,,0.01,BAAI/bge-small-en-v1.5,ok,0,0.01,100,0.524586895835178,5,1.0,0.825223766920025,5,1.0,0.7245422105646905,5,0.8369487578313876,5,prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42\test_epoch1_predictions.jsonl,0.3860980568121525,5,0.7439837431006583,5,0.0,0.0,0.5777177571243667,0.49912372388726023,0.0,,1.584,,0.71,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_definition_deepseek_chat_seed42,P4_same_definition_deepseek_chat_seed42,P4_same_definition_deepseek_chat_seed42,42,1,shared,0,5,2,500,100,0.0,0.3930624459474832,0.16824385531290298,0.179598371501365,0.04772674837315358,0.17490232050244892,0.06013367950293162,0.47624362340273313,0.5387017728543007,0.0,0.9,0.09,0.0,,0.11,BAAI/bge-small-en-v1.5,ok,0,0.11,100,0.6069375540525168,5,1.0,0.831756144687097,5,1.0,0.8250976794975511,5,0.9398663204970684,5,prove_experiments\runs\P4_same_definition_deepseek_chat_seed42\test_epoch1_predictions.jsonl,0.820401628498635,5,0.9522732516268464,5,0.0,0.0,0.4762436234027332,0.5387017728543007,0.0,,1.074,,0.9,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,42,1,shared,0,5,2,500,100,0.0,0.3930624459474832,0.16824385531290298,0.07752856595413768,0.02905619941094136,0.13674684733427978,0.041615703771456625,0.4608338398732084,0.7615941580562492,0.0,0.83,0.31,0.0,,0.19,BAAI/bge-small-en-v1.5,ok,0,0.19,100,0.6069375540525168,5,1.0,0.831756144687097,5,1.0,0.8632531526657202,5,0.9583842962285434,5,prove_experiments\runs\P4_same_definition_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,0.9224714340458623,5,0.9709438005890586,5,0.0,0.0,0.4608338398732085,0.7615941580562491,0.0,,1.666,,0.83,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,42,1,shared,0,5,2,500,100,0.0,0.3930624459474832,0.16824385531290298,0.13387911963363167,0.04534919648116413,0.159662204796245,0.05258189150526422,0.47218855953089894,0.78960724794032,0.0,0.87,0.15,0.0,,0.12,BAAI/bge-small-en-v1.5,ok,0,0.12,100,0.6069375540525168,5,1.0,0.831756144687097,5,1.0,0.840337795203755,5,0.9474181084947357,5,prove_experiments\runs\P4_same_definition_gpt4omini_seed42\test_epoch1_predictions.jsonl,0.8661208803663684,5,0.9546508035188359,5,0.0,0.0,0.47218855953089894,0.7896072479403201,0.0,,1.03,,0.87,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_definition_qwen25_7b_seed42,P4_same_definition_qwen25_7b_seed42,P4_same_definition_qwen25_7b_seed42,42,1,shared,0,5,2,500,100,0.0,0.3930624459474832,0.16824385531290298,0.5006466392631609,0.2149741717037587,0.2122189301182208,0.14116024425031018,0.5236086110360918,0.6521428664108622,0.0,0.72,0.63,0.0,,0.05,BAAI/bge-small-en-v1.5,ok,0,0.05,100,0.6069375540525168,5,1.0,0.831756144687097,5,1.0,0.7877810698817792,5,0.8588397557496898,5,prove_experiments\runs\P4_same_definition_qwen25_7b_seed42\test_epoch1_predictions.jsonl,0.49935336073683917,5,0.7850258282962413,5,0.0,0.0,0.5236086110360918,0.6521428664108622,0.0,,1.354,,0.72,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_elimination_deepseek_chat_seed42,P4_same_elimination_deepseek_chat_seed42,P4_same_elimination_deepseek_chat_seed42,42,1,shared,0,5,2,500,100,0.0,0.5739440384170674,0.1506355101201129,0.14649096009610846,0.0370960307497223,0.1695641747773353,0.05185631430216749,0.47729672311726806,0.6935855554610293,0.0,0.9,0.1,0.0,,0.16,BAAI/bge-small-en-v1.5,ok,0,0.16,100,0.4260559615829326,5,1.0,0.8493644898798871,5,1.0,0.8304358252226647,5,0.9481436856978325,5,prove_experiments\runs\P4_same_elimination_deepseek_chat_seed42\test_epoch1_predictions.jsonl,0.8535090399038915,5,0.9629039692502777,5,0.0,0.0,0.4772967231172681,0.6935855554610292,0.0,,1.088,,0.9,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,42,1,shared,0,5,2,500,100,0.0,0.5739440384170674,0.1506355101201129,0.07417571743604534,0.027734965777283144,0.1306836893048556,0.03786790581582341,0.3872609963549858,0.8394967751875865,0.0,0.79,0.37,0.0,,0.2,BAAI/bge-small-en-v1.5,ok,0,0.2,100,0.4260559615829326,5,1.0,0.8493644898798871,5,1.0,0.8693163106951444,5,0.9621320941841766,5,prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,0.9258242825639547,5,0.9722650342227168,5,0.0,0.0,0.38726099635498573,0.8394967751875865,0.0,,1.694,,0.79,ok,100,100,BAAI/bge-small-en-v1.5,ok,100,100,100,100,100,40,320,100,BAAI/bge-small-en-v1.5,ok,,5,,,
