trace_key,source_run,question_hash,agent_id,original_primary_family,original_secondary_family,primary_agreement,secondary_agreement,pair_agreement,major_agreement,mean_confidence,repeats,primary_labels,secondary_labels
P4_mixed_strategy_qwen25_7b_seed42::7f58595c17d5::3::0,P4_mixed_strategy_qwen25_7b_seed42,7f58595c17d5,3,causal_mechanism_reasoning,causal_mechanism_reasoning,1.0,1.0,1.0,1.0,0.8666666666666667,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning
P4_same_elimination_gpt4omini_seed42::72ec25d9df6f::4::1,P4_same_elimination_gpt4omini_seed42,72ec25d9df6f,4,option_contrast,distractor_elimination,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;option_contrast
P4_mixed_strategy_qwen25_7b_seed42::72ec25d9df6f::3::2,P4_mixed_strategy_qwen25_7b_seed42,72ec25d9df6f,3,concept_definition_match,concept_definition_match,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,concept_definition_match;concept_definition_match;concept_definition_match
P4_same_elimination_gemini_flash_lite_seed42::9fa057383e15::1::3,P4_same_elimination_gemini_flash_lite_seed42,9fa057383e15,1,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_qwen25_7b_seed42::0d434c2f3f4e::3::4,P4_mixed_strategy_qwen25_7b_seed42,0d434c2f3f4e,3,algebraic_derivation,equation_solving,1.0,1.0,1.0,1.0,0.85,3,algebraic_derivation;algebraic_derivation;algebraic_derivation,equation_solving;equation_solving;equation_solving
P4_mixed_strategy_qwen25_7b_seed42::5827943ef2b2::3::5,P4_mixed_strategy_qwen25_7b_seed42,5827943ef2b2,3,concept_definition_match,option_contrast,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::f1bafee3f8af::0::6,P4_mixed_strategy_gemini_flash_lite_seed42,f1bafee3f8af,0,concept_definition_match,option_contrast,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_deepseek_chat_seed42::b6f82dae77a3::3::7,P4_mixed_strategy_deepseek_chat_seed42,b6f82dae77a3,3,option_contrast,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;distractor_elimination
P4_same_elimination_gemini_flash_lite_seed42::daaf2e0aa6f2::3::8,P4_same_elimination_gemini_flash_lite_seed42,daaf2e0aa6f2,3,option_contrast,answer_to_stem_backward_check,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,answer_to_stem_backward_check;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_mixed_strategy_gpt4omini_seed42::e0adf9fd8810::1::9,P4_mixed_strategy_gpt4omini_seed42,e0adf9fd8810,1,option_contrast,distractor_elimination,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.85,3,option_contrast;case_analysis;option_contrast,distractor_elimination;option_contrast;distractor_elimination
