seed,update_index,candidate_index,candidate_hash,target_agent_id,target_gain,target_sign,vote_gain_count,vote_loss_count,vote_net_gain,vote_sign,geometry_type,constraint_passed,globally_accepted,rejection_reasons,target_nonregression_passed,team_vote_nonregression_passed,target_or_vote_progress_passed,terminal_invalid_nonregression_passed,assigned_residual_count,explicit_context_residual_count,context_orphan_count,assigned_residuals_repaired,context_residuals_repaired,context_vote_conversions,all_repair_distance_improvements,all_repair_distance_regressions,target_example_gains,target_example_losses,replay_support
48,0,0,2548042ecbd8a19f530a19ff12a788b2a9c717d4f093df745f0a80b3e492cba3,3,2,+,0,0,0,0,B_target_plus_vote_zero,True,False,[],True,True,True,True,5,2,0,1,1,0,11,0,11,9,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,0,1,4ebd6150254f8dd2ed20f7b030e910eec6ead10abb4435b7031056e64df497b9,3,4,+,0,0,0,0,B_target_plus_vote_zero,True,False,[],True,True,True,True,5,2,0,1,1,0,11,0,11,7,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,0,2,0944cb42d8fbef79004603b59ec4f63b8fb20ef1a7cb03c0f2ae2c83dbd62d1c,1,-6,-,0,0,0,0,F_no_joint_value,False,False,"[""target_regression"",""no_target_or_vote_progress""]",False,True,False,True,5,2,0,3,1,0,5,0,5,11,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,0,3,312eec6c8202345f26bf811492307ae3483452bcd31f000b8927bcc24d15fc27,1,4,+,0,0,0,0,B_target_plus_vote_zero,True,True,[],True,True,True,True,5,2,0,3,1,0,12,0,12,8,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,1,0,5dae61c8dcf9cf5bc70427df36553bb2d18cbf86179f5c5facd90fc4da0c7af7,1,-2,-,0,0,0,0,F_no_joint_value,False,False,"[""target_regression"",""no_target_or_vote_progress""]",False,True,False,True,12,2,0,2,1,0,2,2,2,4,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,1,1,df01019c68305e06e371254a5b024aae35507db89d7abf23358f629d9625f0a0,1,-7,-,0,0,0,0,F_no_joint_value,False,False,"[""target_regression"",""no_target_or_vote_progress""]",False,True,False,True,12,2,0,0,0,0,0,4,1,8,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,1,2,0e96fd4f921e5164c11f6d739d1faa38866bdb21d30a10cb0d6a2e5b8e5bbdce,0,4,+,0,0,0,0,B_target_plus_vote_zero,True,True,[],True,True,True,True,3,2,2,3,2,0,11,0,11,7,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,1,3,d1ad747d52292f44fb1cca28a12a587918d60f1c265101358ec0dfaf54715e3f,0,2,+,0,0,0,0,B_target_plus_vote_zero,True,False,[],True,True,True,True,3,2,2,3,2,0,11,0,11,9,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,2,0,81cf055bc793a679e597c6f5bbd357a4a88f77f4e89c4f06e3b7279482a191b8,4,-5,-,5,4,1,+,E_target_minus_vote_plus,False,False,"[""target_regression""]",False,True,True,True,4,2,0,0,0,0,6,4,6,11,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,2,1,9c5cccd5958060341a9f9e04a755f42c6be2b1026453ffbd005b4b662d50ec2d,4,1,+,8,4,4,+,A_target_plus_vote_plus,True,True,[],True,True,True,True,4,2,0,2,0,0,9,4,9,8,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,2,2,4619a3b2218a7e45f2253d86e19ab4c60cf5612686fe27dc61cc5f8d309d5916,2,-6,-,4,3,1,+,E_target_minus_vote_plus,False,False,"[""target_regression""]",False,True,True,True,4,2,0,2,2,2,5,3,5,11,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,2,3,aa1cfad6c96010bd2384b6e40691e0d7daf742bf9ab6d816d3732a2430a24da1,2,-7,-,3,3,0,0,F_no_joint_value,False,False,"[""target_regression"",""no_target_or_vote_progress""]",False,True,False,True,4,2,0,2,2,2,5,3,5,12,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,3,0,236d1a7b97d447cb6693f1097e71428e2f484e005c087f8843e1412f6830fc87,4,-1,-,1,0,1,+,E_target_minus_vote_plus,False,False,"[""target_regression""]",False,True,True,True,7,2,0,1,1,1,1,0,1,2,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,3,1,905acd27c16a88c2aea202d1154be64225438d0dc8583a69ea497b7a97187987,4,-5,-,0,2,-2,-,F_no_joint_value,False,False,"[""target_regression"",""team_vote_regression"",""no_target_or_vote_progress""]",False,False,False,True,7,2,0,0,0,0,0,2,0,5,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,3,2,589332055c8ef76ae543854c852e8d64a99c3dc785739bc60e01198cb163d2b6,1,-8,-,0,1,-1,-,F_no_joint_value,False,False,"[""target_regression"",""team_vote_regression"",""no_target_or_vote_progress""]",False,False,False,True,12,2,0,0,0,0,1,5,5,13,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,3,3,7ec4ddc922126c96e6821e09db633d1a85b6ae7056244d64fb2fb0e253d0c14c,1,-7,-,0,1,-1,-,F_no_joint_value,False,False,"[""target_regression"",""team_vote_regression"",""no_target_or_vote_progress""]",False,False,False,True,12,2,0,0,0,0,1,5,5,12,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
48,4,0,06966f9f0292afa8c5c1447079df7ff7c9b45b147c88a7dad009957e5b35fa97,4,-3,-,0,0,0,0,F_no_joint_value,False,False,"[""target_regression"",""no_target_or_vote_progress""]",False,True,False,True,7,2,0,0,0,0,0,0,0,3,EXACT_READ_ONLY_SOLVER_CACHE_REPLAY
