sample_id,question,answer
44,True or ( True or not True ) is,True
98,( True ) and True or not True is,True
184,not not not ( True and False ) is,True
123,( ( not False ) ) and True is,True
121,not True and True and not not False is,False
167,( False or not not not False ) is,True
9,True and ( False ) or not False is,True
176,True or False and not ( True ) is,True
197,( False ) or not True and False is,False
113,not False or True and not not True is,True
3,not False and False or True or False is,True
51,not False and False or True and True is,True
15,not not not not True or not True is,True
89,( ( not True ) or True ) is,True
209,not False and False and False and True is,False
85,( not True ) and ( False ) is,False
115,( not False ) and False or True is,True
21,not ( False and True ) and True is,True
103,not not not False and True or False is,True
105,not not ( not False or True ) is,True
200,( True or not False ) or False is,True
243,False or not ( False ) or True is,True
61,False or ( not False ) and True is,True
29,not True and not True and not True is,False
126,not not False and not not not False is,False
222,not ( False or False or True ) is,False
72,True or not False and ( False ) is,True
45,( True or True or not False ) is,True
174,( False ) or False and not True is,False
213,not True or False or True and True is,True
104,True and not not not not not True is,False
95,True and not False and not not True is,True
66,( not True ) and True or True is,True
164,False or True and not False or True is,True
248,not True or False or ( False ) is,False
199,True or ( not ( True ) ) is,True
78,( True and not not not True ) is,False
79,not ( False ) and ( True ) is,True
12,False or not ( True ) and False is,False
196,( not False ) or not not False is,True
149,not True or False and True and True is,False
27,False or ( False or not False ) is,True
81,False or not not not not not False is,True
99,( True and not True and True ) is,False
234,not True and True or True and False is,False
10,True or False and not False and True is,True
133,not not ( False or not True ) is,False
124,( False ) and False or not False is,True
42,not not not not not not not True is,False
223,False or ( True and not True ) is,False
111,( not ( False ) or False ) is,True
120,False or False or True and not False is,True
153,False and False and not ( False ) is,False
130,not not ( True ) and not False is,True
4,False and not ( not not True ) is,False
52,True or not ( ( False ) ) is,True
241,False or not ( True ) and True is,False
73,False and True and ( not False ) is,False
218,True or ( ( not True ) ) is,True
5,( not ( True or False ) ) is,False
60,( not not True ) or not False is,True
135,( False or not False or False ) is,True
138,not ( True or False ) or True is,True
125,not True or ( False and True ) is,False
231,True and True and not not not False is,True
30,False and False and not True and False is,False
204,( False ) or not False or True is,True
46,not True and ( True and True ) is,False
221,True and False or ( not True ) is,False
2,not False and False and False or False is,False
156,not True or True and False or False is,False
159,True or not False and True and False is,True
202,False or True or False and not False is,True
106,( False and True or not False ) is,True
152,True or ( not False ) or True is,True
