blinded_id,family_div,gpt_distinct_methods_count,gpt_method_diversity_score,major_div,metric,metric_value,model,original_bucket,question_hash,rank_by_id,run_name,side,trace_embedding_div,trace_token_div
P7G0001,0.3424798724073079,2,2,0.0,trace_embedding_div,0.33116348395736783,qwen2.5-7b-instruct,high_text,1f4ede31a771,1,P4_same_elimination_qwen25_7b_seed42,high,0.33116348395736783,0.6347574641352827
P7G0015,0.6881420362473988,3,2,0.92481870497303,trace_embedding_div,0.32669790240147345,qwen2.5-7b-instruct,high_text,7f58595c17d5,2,P4_same_elimination_qwen25_7b_seed42,high,0.32669790240147345,0.6165864968411628
P7G0021,0.5865017796615155,3,3,0.7166994713893735,trace_embedding_div,0.3348263238306415,qwen2.5-7b-instruct,high_text,dde288837cca,3,P4_same_definition_qwen25_7b_seed42,high,0.3348263238306415,0.6889292874469072
P7G0025,0.381649514770862,2,2,0.0,trace_embedding_div,0.33609825386640035,qwen2.5-7b-instruct,high_text,1344eb3e8338,4,P4_mixed_strategy_qwen25_7b_seed42,high,0.33609825386640035,0.6305879079686644
P7G0026,0.3014088775086746,4,3,0.0,trace_embedding_div,0.34235164555823916,qwen2.5-7b-instruct,high_text,44087b92bed9,5,P4_mixed_strategy_qwen25_7b_seed42,high,0.34235164555823916,0.6392516596552851
P7G0052,0.4854752972273344,2,2,0.0,trace_embedding_div,0.3375972754026738,qwen2.5-7b-instruct,high_text,71a57db45dbf,6,P4_same_definition_qwen25_7b_seed42,high,0.3375972754026738,0.695178419461105
P7G0055,0.45465326854412547,3,2,0.0,trace_embedding_div,0.3244656815778646,qwen2.5-7b-instruct,high_text,9fa057383e15,7,P4_mixed_strategy_qwen25_7b_seed42,high,0.3244656815778646,0.5595003267291145
P7G0059,0.8126715687706112,3,3,0.7219280948873623,trace_embedding_div,0.3410105413026795,qwen2.5-7b-instruct,high_text,f1bafee3f8af,8,P4_same_definition_qwen25_7b_seed42,high,0.3410105413026795,0.6175027254120962
P7G0066,0.4295186582384212,2,2,0.0,trace_embedding_div,0.33084165627830786,qwen2.5-7b-instruct,high_text,de566530eac3,9,P4_same_elimination_qwen25_7b_seed42,high,0.33084165627830786,0.7962222469597052
P7G0068,0.36385685536848716,3,2,0.0,trace_embedding_div,0.3273552297703549,qwen2.5-7b-instruct,high_text,ae62d92fd751,10,P4_same_definition_qwen25_7b_seed42,high,0.3273552297703549,0.6628898886369039
P7G0070,0.6613145283588173,3,2,0.8649735207179272,trace_embedding_div,0.33811878080118707,qwen2.5-7b-instruct,high_text,2985ffe3f94f,11,P4_mixed_strategy_qwen25_7b_seed42,high,0.33811878080118707,0.6283293201923675
P7G0074,0.41750733961994985,1,1,0.0,trace_embedding_div,0.32945109126993766,qwen2.5-7b-instruct,high_text,03c44704cc48,12,P4_same_definition_qwen25_7b_seed42,high,0.32945109126993766,0.5168368520039055
P7G0080,0.16372245957723808,2,2,0.0,trace_embedding_div,0.32344562491501594,qwen2.5-7b-instruct,high_text,df0e7d3fed0d,13,P4_same_elimination_qwen25_7b_seed42,high,0.32344562491501594,0.6574986997113025
P7G0085,0.6544788325876625,2,2,0.7219280948873623,trace_embedding_div,0.3523650044620751,qwen2.5-7b-instruct,high_text,4287ffc2abab,14,P4_mixed_strategy_qwen25_7b_seed42,high,0.3523650044620751,0.5925107316106866
P7G0104,0.44795337422092435,3,2,0.0,trace_embedding_div,0.33896378867545984,qwen2.5-7b-instruct,high_text,fadab7af0bf6,15,P4_same_definition_qwen25_7b_seed42,high,0.33896378867545984,0.6249942249066196
