accepted,active_prompt_changed,agent_id,baseline_plurality_margin_votes,beam_slot,candidate_id,candidate_plurality_margin_votes,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_reward_component_missing,candidate_target_accuracy,candidate_type,competence_reward_component,declared_mechanism,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_metric_missing,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,hard_guard_passed,hard_rejection_reason,is_top1,mechanism_signature,mechanism_signature_distance,metric_missing,penalized_reward,plurality_margin_vote_delta,plurality_metric_missing,plurality_pivotal_fix_opportunity_rate,plurality_pivotal_fix_rate,plurality_pivotal_loss_rate,plurality_vote_gain_rate,plurality_vote_loss_rate,plurality_vote_net_delta,raw_reward,reward,setting_seed,soft_guard_penalty,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
True,True,2,0.0,explore,g1_a2_p26b37815e849_0_9b0b61aba281,0.4,263,True,False,False,False,0.6,task_specific_repair,0.27999999999999997,Added mandatory explicit entity-constraint listing before reasoning.,0.1,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""list_all_entities_and_their"", ""propagate_constraints_through_reasoning"", ""final_consistency_check"", ""select_final_answer""]",1.0,False,0.2437327188940092,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999997,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.03626728110599079,0.0,0.05,10,disambiguation_qa,0.0,0.0
True,True,2,0.0,exploit,g1_a2_p26b37815e849_1_2dcd8dc901cf,0.6,279,True,False,False,False,0.7,mechanism_alternative,0.45999999999999996,Changed reasoning to constraint table creation and propagation.,0.2,0.0,0.2,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,"[""extract_constraints"", ""hard_elimination"", ""final_consistency_check"", ""select_final_answer""]",1.0,False,0.4211111111111111,0.6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996,0.45999999999999996,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.038888888888888876,0.0,0.1,10,disambiguation_qa,0.0,0.0
True,True,2,0.0,safe,g0_00bcb3ee9efb,0.0,171,True,False,False,False,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,10,disambiguation_qa,0.0,0.0
True,True,4,0.6,explore,g1_a4_p26b37815e849_0_6f9a3c95a04f,0.8,270,True,False,False,False,0.6,task_specific_repair,0.18,Added mandatory entity-binding step before evaluating options.,0.0,0.0,0.0,0.1,0.0,False,0.1,0.0,0.0,0.0,1,True,,False,"[""bind_each_named_entity_to"", ""produce_compact_explicit_reasoning_trace"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.18,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.05,10,disambiguation_qa,0.0,0.0
True,True,4,0.6,exploit,g1_a4_p26b37815e849_1_69fd1f79c8c0,0.8,281,True,False,False,False,0.6,mechanism_alternative,0.18,Added mandatory constraint-listing step before comparing options.,0.0,0.0,0.0,0.1,0.0,False,0.1,0.0,0.0,0.0,1,True,,True,"[""list_all_explicit_constraints_including"", ""produce_compact_explicit_reasoning_trace"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.18,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.05,10,disambiguation_qa,0.0,0.0
True,True,4,0.6,safe,g0_00bcb3ee9efb,0.6,171,True,False,False,False,0.5,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,10,disambiguation_qa,0.0,0.0
True,True,0,-0.8,explore,g1_a0_p26b37815e849_0_47351af2da51,-0.8,354,True,False,False,False,0.4,task_specific_repair,0.0,Added mandatory initial step to extract and list all explicit constraints with verification.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""extract_and_list_all_explicit"", ""final_consistency_check"", ""produce_compact_reasoning_trace"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,0,-0.8,exploit,g1_a0_p26b37815e849_1_473052434cd2,-0.6,440,True,False,False,False,0.5,mechanism_alternative,0.18,Added constraint propagation as the elimination method after constraint enumeration.,0.1,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,True,"[""extract_and_list_all_explicit"", ""final_consistency_check"", ""extract_constraints"", ""final_consistency_check"", ""produce_compact_reasoning_trace"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.15707037643207855,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.022929623567921442,0.0,0.05,20,disambiguation_qa,0.0,0.0
True,True,0,-0.8,safe,g0_00bcb3ee9efb,-0.8,171,True,False,False,False,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,[],0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
True,True,3,-0.6,explore,g1_a3_p26b37815e849_0_e3bfc908e776,-0.6,261,True,False,False,False,0.4,task_specific_repair,0.0,Inserted mandatory entity-reference binding as a discrete step preceding constraint propagation.,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,True,,False,"[""bind_each_entity_to_its"", ""propagate_constraints"", ""make_decision_procedure_visible"", ""final_consistency_check"", ""give_exactly_one_final_answer""]",1.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_hybrid_seed42,0.0,0.0,0.0,20,disambiguation_qa,0.0,0.0
