seed,arm,update_index,slot,lane_selected,candidate_member_ids,selected_target_id,rr_cursor_before,rr_cursor_after,fallback_reason,optimize_winner,shadow_approved_commit
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,0,1,pure_coverage,"[0, 1, 2, 3, 4]",0,0,1,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,0,2,pure_coverage,"[1, 2, 3, 4]",1,1,2,,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,1,1,pure_coverage,[1],1,2,3,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,1,2,fallback_rr,"[2, 3, 4, 0]",2,,,no_direct_flip_near_margin_or_pure_coverage,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,2,1,direct_flip,"[0, 3, 4]",0,0,1,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,2,2,direct_flip,"[3, 4]",3,1,2,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,3,1,direct_flip,"[0, 3, 4]",4,2,3,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,3,2,direct_flip,"[0, 3]",0,3,4,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,4,1,direct_flip,"[0, 3, 4]",3,4,5,,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,4,2,direct_flip,"[0, 4]",0,5,6,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,5,1,direct_flip,"[0, 4]",4,6,7,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,5,2,direct_flip,[0],0,7,8,,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,6,1,direct_flip,"[0, 3, 4]",4,8,9,,True,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,6,2,direct_flip,"[0, 3]",0,9,10,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,7,1,direct_flip,"[0, 3, 4]",3,10,11,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,7,2,direct_flip,"[0, 4]",0,11,12,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,8,1,direct_flip,"[0, 3, 4]",0,12,13,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,8,2,direct_flip,"[3, 4]",3,13,14,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,9,1,direct_flip,"[0, 3, 4]",4,14,15,,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,9,2,direct_flip,"[0, 3]",0,15,16,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,10,1,direct_flip,"[0, 3, 4]",3,16,17,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,10,2,direct_flip,"[0, 4]",0,17,18,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,11,1,direct_flip,"[0, 3, 4]",0,18,19,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,11,2,direct_flip,"[3, 4]",3,19,20,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,12,1,direct_flip,"[0, 3, 4]",4,20,21,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,12,2,direct_flip,"[0, 3]",0,21,22,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,13,1,direct_flip,"[0, 3, 4]",3,22,23,,True,True
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,13,2,direct_flip,"[0, 4]",0,23,24,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,14,1,direct_flip,"[0, 3, 4]",0,24,25,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,14,2,direct_flip,"[3, 4]",3,25,26,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,15,1,direct_flip,"[0, 3, 4]",4,26,27,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,15,2,direct_flip,"[0, 3]",0,27,28,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,16,1,direct_flip,"[0, 3, 4]",3,28,29,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,16,2,direct_flip,"[0, 4]",0,29,30,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,17,1,direct_flip,"[0, 3, 4]",0,30,31,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,17,2,direct_flip,"[3, 4]",3,31,32,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,18,1,direct_flip,"[0, 3, 4]",4,32,33,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,18,2,direct_flip,"[0, 3]",0,33,34,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,19,1,direct_flip,"[0, 3, 4]",3,34,35,,False,False
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,19,2,direct_flip,"[0, 4]",0,35,36,,True,False
