task,seed,setting,split,example_count,distance_type,k2_partition,k2_cluster_sizes,k2_silhouette,k3_partition,k3_silhouette,preferred_k_by_silhouette,within_correlation,between_correlation,within_between_gap,cluster_strength,bootstrap_partition_support,minimum_pair_support,selected_updates_by_agent,accepted_updates_by_agent,strictness_status
disambiguation_qa,44,shared_independent_accuracy,train,75,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.38400069567920225,"{0,1}|{2,4}|{3}",0.3426850220558206,2,0.5840171166212392,0.18353281974781907,0.40048429687342013,strong,0.9702,0.95,"[7, 7, 6, 6, 6]","[3, 2, 1, 3, 4]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_independent_accuracy,test,125,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.2808655904079936,"{0,1}|{2,4}|{3}",0.28978119789777285,3,0.4824671311310307,0.1553567635437082,0.3271103675873225,strong,0.8715999999999999,0.783,"[7, 7, 6, 6, 6]","[3, 2, 1, 3, 4]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_peer_state_vote_first,train,75,correctness_correlation,"{0,2,3}|{1,4}","[3, 2]",0.28928319038739475,"{0,3}|{1,4}|{2}",0.27710282818134924,2,0.5720543145742167,0.4350106095702356,0.13704370500398116,moderate,0.6679999999999999,0.333,"[7, 7, 6, 6, 6]","[3, 1, 2, 4, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_peer_state_vote_first,test,125,correctness_correlation,"{0,2,3}|{1,4}","[3, 2]",0.3680339293034541,"{0,3}|{1,4}|{2}",0.3248193549156381,2,0.6365518455840717,0.4193576228578993,0.21719422272617245,strong,0.8834,0.7130000000000001,"[7, 7, 6, 6, 6]","[3, 1, 2, 4, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_peer_state_member_pareto,train,75,correctness_correlation,"{0,2,3}|{1,4}","[3, 2]",0.3227743597973777,"{0,2}|{1,4}|{3}",0.18300912484589218,2,0.6295972787977575,0.45249824803064326,0.17709903076711425,strong,0.8352,0.6619999999999999,"[7, 7, 6, 6, 6]","[1, 4, 2, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_peer_state_member_pareto,test,125,correctness_correlation,"{0,1,2,3}|{4}","[4, 1]",0.10192631688357894,"{0,2}|{1,3}|{4}",0.12097699511851882,3,0.5869109539137035,0.5161657824994582,0.0707451714142453,moderate,0.6556,0.367,"[7, 7, 6, 6, 6]","[1, 4, 2, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_member_aware_responsibility,train,75,correctness_correlation,"{1,2,3,4}|{0}","[4, 1]",0.13608098214757608,"{2,3,4}|{0}|{1}",0.07958559458874266,2,0.4931174685421134,0.38520535258662614,0.10791211595548728,moderate,0.7013999999999999,0.5409999999999999,"[9, 9, 5, 5, 4]","[2, 1, 3, 1, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_member_aware_responsibility,test,125,correctness_correlation,"{2,3,4}|{0,1}","[3, 2]",0.2634662392435168,"{2,3,4}|{0}|{1}",0.21090300367184836,2,0.5352433920124016,0.31703118841574146,0.2182122035966601,strong,0.7796000000000001,0.455,"[9, 9, 5, 5, 4]","[2, 1, 3, 1, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_member_aware_full,train,75,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.21714272972188403,"{0,1,4}|{2}|{3}",0.1318489075498788,2,0.6021583647987921,0.4536923198797565,0.14846604491903564,moderate,0.8266,0.696,"[5, 5, 8, 5, 9]","[4, 2, 2, 3, 5]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,44,shared_member_aware_full,test,125,correctness_correlation,"{0,1,3,4}|{2}","[4, 1]",0.14497260928218378,"{0,4}|{1,3}|{2}",0.11316301865999016,2,0.6000316654185451,0.5032785063648318,0.09675315905371329,moderate,0.7614,0.577,"[5, 5, 8, 5, 9]","[4, 2, 2, 3, 5]",exploratory_due_to_unmatched_repeated_test_observations
