blinded_id,bucket,mean_trace_embedding_chunks,model,question_hash,run_dir,run_name,team_family_diversity,team_family_homogeneity_rate,team_major_family_diversity,trace_embedding_chunk_overlap,trace_embedding_chunk_words,trace_embedding_cosine_diversity,trace_embedding_cosine_similarity,trace_embedding_model,trace_embedding_status,trace_embedding_text_count,trace_token_cosine_diversity,trace_token_cosine_similarity,vote_correct
P7G0001,low_text_high_strategy,3.0,gemini-2.5-flash-lite,feb65f13f8e6,prove_experiments\cleaned_runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.6212136141353173,0.7506859045027138,0.9895875212220557,40,320,0.029288972029367977,0.970711027970632,BAAI/bge-small-en-v1.5,ok,5,0.05832198911153097,0.941678010888469,1.0
P7G0002,low_strategy,1.0,deepseek-chat,0d434c2f3f4e,prove_experiments\cleaned_runs\P4_same_elimination_deepseek_chat_seed42,P4_same_elimination_deepseek_chat_seed42,0.3246804326436822,0.9505410347014699,0.32744491915447616,40,320,0.03738831289546529,0.9626116871045347,BAAI/bge-small-en-v1.5,ok,5,0.17294233381335755,0.8270576661866424,1.0
P7G0003,high_strategy,1.0,qwen3.5-plus,bab7e93c939f,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen35_plus_seed42,P4_mixed_strategy_qwen35_plus_seed42,0.6103826341884064,0.7393037729710883,0.5842388116428557,40,320,0.04485624688141754,0.9551437531185825,BAAI/bge-small-en-v1.5,ok,5,0.1332703759178575,0.8667296240821425,1.0
P7G0004,low_text_high_strategy,2.2,gemini-2.5-flash-lite,357d47ca3045,prove_experiments\cleaned_runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.6428226644538911,0.49749718699772494,0.7277137107369743,40,320,0.02084998458883036,0.9791500154111696,BAAI/bge-small-en-v1.5,ok,5,0.02699985732207133,0.9730001426779287,1.0
P7G0005,low_text_high_strategy,1.0,gemini-2.5-flash-lite,a63408590859,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.6103826341884067,0.7393037729710883,0.584238811642856,40,320,0.025052162539118905,0.9749478374608811,BAAI/bge-small-en-v1.5,ok,5,0.06999485508427483,0.9300051449157252,1.0
P7G0006,high_text_low_strategy,1.0,gpt-4o-mini,a5e382570629,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,0.2833462224894365,0.8828718338977234,0.0,40,320,0.03925068057091785,0.9607493194290821,BAAI/bge-small-en-v1.5,ok,5,0.18156993883264838,0.8184300611673516,1.0
P7G0007,low_text_high_strategy,1.0,gpt-4o-mini,02c5f132bd5c,prove_experiments\cleaned_runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.7134804071359583,0.6,0.7219280948873623,40,320,0.013414596048003657,0.9865854039519963,BAAI/bge-small-en-v1.5,ok,5,0.04802349441819054,0.9519765055818095,1.0
P7G0008,high_strategy,1.0,gpt-4o-mini,72ec25d9df6f,prove_experiments\cleaned_runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.6261739753041188,0.3912649431574241,0.9709505944546688,40,320,0.050153699626936166,0.9498463003730638,BAAI/bge-small-en-v1.5,ok,5,0.11835564756260697,0.881644352437393,1.0
P7G0009,low_text_high_strategy,1.2,gemini-2.5-flash-lite,a63408590859,prove_experiments\cleaned_runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.7491821096361204,0.5025866244532329,0.8554508105601307,40,320,0.034413246332239744,0.9655867536677603,BAAI/bge-small-en-v1.5,ok,5,0.08018260978315062,0.9198173902168494,1.0
P7G0010,low_text_high_strategy,1.2,gemini-2.5-flash-lite,4b74f9bb8790,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.6881420362473988,0.49791432826850357,0.92481870497303,40,320,0.020755386859792502,0.9792446131402075,BAAI/bge-small-en-v1.5,ok,5,0.01489025944427147,0.9851097405557285,1.0
P7G0011,low_strategy,1.6,gemini-2.5-flash-lite,e668c65c8a2a,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.3699065678315961,0.9658227848101266,0.0,40,320,0.028864317327694344,0.9711356826723057,BAAI/bge-small-en-v1.5,ok,5,0.0965069535580888,0.9034930464419112,1.0
P7G0012,low_text_high_strategy,1.0,gemini-2.5-flash-lite,8c99aeac3800,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.6881420362473988,0.4591719582549684,0.9953784388202258,40,320,0.05802002738153944,0.9419799726184606,BAAI/bge-small-en-v1.5,ok,5,0.08393522897048533,0.9160647710295147,1.0
P7G0013,low_text_high_strategy,1.8,qwen3.5-plus,3ec5787946d0,prove_experiments\cleaned_runs\P4_same_definition_qwen35_plus_seed42,P4_same_definition_qwen35_plus_seed42,0.7498625669965422,0.6506568000106269,0.9709505944546688,40,320,0.04145527780757541,0.9585447221924246,BAAI/bge-small-en-v1.5,ok,5,0.07766840322028012,0.9223315967797199,1.0
P7G0014,low_strategy,1.0,gpt-4o-mini,82e534086949,prove_experiments\cleaned_runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.2646804326436821,0.9737948294722722,0.0,40,320,0.026155126509183058,0.9738448734908169,BAAI/bge-small-en-v1.5,ok,5,0.11467121772963673,0.8853287822703633,1.0
P7G0015,high_text_low_strategy,1.0,deepseek-chat,a65051ae94fb,prove_experiments\cleaned_runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,0.26668463622118677,0.9624024244089812,2.220446049250313e-16,40,320,0.03875344898806288,0.9612465510119371,BAAI/bge-small-en-v1.5,ok,5,0.1624764657082569,0.8375235342917431,1.0
P7G0016,high_strategy,1.0,gpt-4o-mini,7df68c8b1641,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,0.7231149447478833,0.5481698451420078,0.8554508105601307,40,320,0.08539466179448763,0.9146053382055124,BAAI/bge-small-en-v1.5,ok,5,0.18158731227783087,0.8184126877221691,1.0
P7G0017,high_text_low_strategy,1.0,qwen3.5-plus,d1ea00cab364,prove_experiments\cleaned_runs\P4_same_elimination_qwen35_plus_seed42,P4_same_elimination_qwen35_plus_seed42,0.3400385228641399,0.9737948294722724,0.0,40,320,0.05066737790238862,0.9493326220976114,BAAI/bge-small-en-v1.5,ok,5,0.1728253602289629,0.8271746397710371,1.0
P7G0018,low_strategy,1.0,qwen3.5-plus,d1ea00cab364,prove_experiments\cleaned_runs\P4_same_definition_qwen35_plus_seed42,P4_same_definition_qwen35_plus_seed42,0.31223042463287937,0.9654412787199116,0.0,40,320,0.06260444820081879,0.9373955517991812,BAAI/bge-small-en-v1.5,ok,5,0.2342200730271149,0.7657799269728851,1.0
P7G0019,low_strategy,1.6,gemini-2.5-flash-lite,ae156bbb57f7,prove_experiments\cleaned_runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.16372245957723808,0.9825298863148483,0.0,40,320,0.020148167386370708,0.9798518326136293,BAAI/bge-small-en-v1.5,ok,5,0.11677815185697171,0.8832218481430283,1.0
P7G0020,high_strategy,1.0,gemini-2.5-flash-lite,9988718b5a7a,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.716375529930808,0.5760195050287221,0.9814538950336537,40,320,0.02888135627286048,0.9711186437271395,BAAI/bge-small-en-v1.5,ok,5,0.0533006165895491,0.9466993834104509,1.0
P7G0021,low_strategy,1.0,gpt-4o-mini,8c99aeac3800,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,0.2646804326436821,0.9514870180108346,0.5293608652873641,40,320,0.07861954697944928,0.9213804530205507,BAAI/bge-small-en-v1.5,ok,5,0.13514707607991627,0.8648529239200837,1.0
P7G0022,low_strategy,1.0,deepseek-chat,b97dc80f265a,prove_experiments\cleaned_runs\P4_same_definition_deepseek_chat_seed42,P4_same_definition_deepseek_chat_seed42,0.0,1.0,0.0,40,320,0.09048163160417677,0.9095183683958232,BAAI/bge-small-en-v1.5,ok,5,0.25037601757531847,0.7496239824246815,1.0
P7G0023,high_text_low_strategy,1.0,qwen3.5-plus,5827943ef2b2,prove_experiments\cleaned_runs\P4_same_elimination_qwen35_plus_seed42,P4_same_elimination_qwen35_plus_seed42,0.3638568553684872,0.8369523543602156,2.220446049250313e-16,40,320,0.03224493124407135,0.9677550687559286,BAAI/bge-small-en-v1.5,ok,5,0.1624153361511732,0.8375846638488268,1.0
P7G0024,high_strategy,1.0,gemini-2.5-flash-lite,dde288837cca,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.7311765986912827,0.5211994418814903,0.9814538950336537,40,320,0.02089442492271254,0.9791055750772875,BAAI/bge-small-en-v1.5,ok,5,0.08863227328591283,0.9113677267140872,1.0
