blinded_id,bucket,evaluator_model,gpt_coarse_method_tags_by_agent,gpt_confidence,gpt_distinct_methods_count,gpt_method_diversity_score,gpt_rationale,parse_ok,question_hash,raw_response,run_dir,run_name,team_family_diversity,team_family_homogeneity_rate,team_major_family_diversity,trace_token_cosine_diversity,trace_token_cosine_similarity,vote_correct
P7G0001,high_text_low_strategy,gpt-5.5,"{""A1"": [""answer-choice elimination"", ""semiconductor carrier-role recall""], ""A2"": [""direct concept recall"", ""brief physical explanation of holes""], ""A3"": [""semiconductor doping/majority-minority carrier explanation"", ""incomplete/garbled reasoning""], ""A4"": [""direct concept recall""], ""A5"": [""direct concept recall""]}",0.9,2,2,"All agents rely on the same core reasoning: in p-type semiconductors holes are majority carriers and electrons are minority carriers. A1 uses an option-by-option elimination format, while A2 includes a slightly fuller explanation involving holes, and A3 gestures toward doping and carrier definitions despite becoming garbled. A4 and A5 are essentially identical direct-recall responses. Thus there is only minor methodological variation around the same underlying fact-based approach.",1,1f3467b893e8,"{""method_diversity_score"":2,""confidence"":0.9,""distinct_methods_count"":2,""coarse_method_tags_by_agent"":{""A1"":[""answer-choice elimination"",""semiconductor carrier-role recall""],""A2"":[""direct concept recall"",""brief physical explanation of holes""],""A3"":[""semiconductor doping/majority-minority carrier explanation"",""incomplete/garbled reasoning""],""A4"":[""direct concept recall""],""A5"":[""direct concept recall""]},""rationale"":""All agents rely on the same core reasoning: in p-type semiconductors holes are majority carriers and electrons are minority carriers. A1 uses an option-by-option elimination format, while A2 includes a slightly fuller explanation involving holes, and A3 gestures toward doping and carrier definitions despite becoming garbled. A4 and A5 are essentially identical direct-recall responses. Thus there is only minor methodological variation around the same underlying fact-based approach.""}",prove_experiments\runs\P4_same_elimination_qwen25_7b_seed42,P4_same_elimination_qwen25_7b_seed42,0.2833462224894365,0.8250175801852049,0.0,0.5045530242453142,0.49544697575468577,1.0
P7G0002,low_strategy,gpt-5.5,"{""A1"": [""option-by-option elimination"", ""developmental sequence knowledge""], ""A2"": [""option-by-option elimination"", ""developmental sequence knowledge""], ""A3"": [""option-by-option elimination"", ""developmental sequence knowledge""], ""A4"": [""option-by-option elimination"", ""developmental sequence knowledge""], ""A5"": [""option-by-option elimination"", ""developmental sequence knowledge""]}",0.99,1,1,"All agents use the same reasoning method: they review each multiple-choice option in developmental order/meaning, exclude neurulation, blastula formation, and cleavage as not directly forming germ layers, and identify gastrulation as the process that forms ectoderm, mesoderm, and endoderm. Differences are only minor wording variations.",1,1e89b7735a6e,"{
  ""method_diversity_score"": 1,
  ""confidence"": 0.99,
  ""distinct_methods_count"": 1,
  ""coarse_method_tags_by_agent"": {
    ""A1"": [""option-by-option elimination"", ""developmental sequence knowledge""],
    ""A2"": [""option-by-option elimination"", ""developmental sequence knowledge""],
    ""A3"": [""option-by-option elimination"", ""developmental sequence knowledge""],
    ""A4"": [""option-by-option elimination"", ""developmental sequence knowledge""],
    ""A5"": [""option-by-option elimination"", ""developmental sequence knowledge""]
  },
  ""rationale"": ""All agents use the same reasoning method: they review each multiple-choice option in developmental order/meaning, exclude neurulation, blastula formation, and cleavage as not directly forming germ layers, and identify gastrulation as the process that forms ectoderm, mesoderm, and endoderm. Differences are only minor wording variations.""
}",prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.36096404744368116,0.6,0.7219280948873623,0.02595522627188207,0.9740447737281179,1.0
P7G0003,low_text_high_strategy,gpt-5.5,"{""A1"": [""vertical kinematics"", ""zero initial vertical velocity"", ""constant acceleration displacement formula""], ""A2"": [""vertical kinematics"", ""zero initial vertical velocity"", ""constant acceleration displacement formula""], ""A3"": [""vertical kinematics"", ""zero initial vertical velocity"", ""constant acceleration displacement formula""], ""A4"": [""vertical kinematics"", ""zero initial vertical velocity"", ""constant acceleration displacement formula""], ""A5"": [""vertical kinematics"", ""zero initial vertical velocity"", ""constant acceleration displacement formula""]}",0.98,1,1,"All agents use the same reasoning method: decompose projectile motion, note the horizontal launch gives zero initial vertical velocity, ignore horizontal speed, and compute vertical displacement using the constant-acceleration formula with gravity over 2 seconds. A5 writes the more general kinematic equation including the zero initial-velocity term, but this is only a minor presentation variation rather than a distinct method.",1,02c5f132bd5c,"{""method_diversity_score"":1,""confidence"":0.98,""distinct_methods_count"":1,""coarse_method_tags_by_agent"":{""A1"":[""vertical kinematics"",""zero initial vertical velocity"",""constant acceleration displacement formula""],""A2"":[""vertical kinematics"",""zero initial vertical velocity"",""constant acceleration displacement formula""],""A3"":[""vertical kinematics"",""zero initial vertical velocity"",""constant acceleration displacement formula""],""A4"":[""vertical kinematics"",""zero initial vertical velocity"",""constant acceleration displacement formula""],""A5"":[""vertical kinematics"",""zero initial vertical velocity"",""constant acceleration displacement formula""]},""rationale"":""All agents use the same reasoning method: decompose projectile motion, note the horizontal launch gives zero initial vertical velocity, ignore horizontal speed, and compute vertical displacement using the constant-acceleration formula with gravity over 2 seconds. A5 writes the more general kinematic equation including the zero initial-velocity term, but this is only a minor presentation variation rather than a distinct method.""}",prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,0.7454771510113252,0.4492296116054127,0.9248187049730301,0.09119457118780772,0.9088054288121923,1.0
P7G0004,high_text_low_strategy,gpt-5.5,"{""A1"": [""definition-based elimination"", ""embryology process recall""], ""A2"": [""incoherent/undiscernible reasoning""], ""A3"": [""answer-only/no visible reasoning""], ""A4"": [""answer-only/no visible reasoning""], ""A5"": [""answer-only/no visible reasoning""]}",0.86,2,2,"Only A1 shows a discernible method, using recalled definitions of embryological stages and eliminating alternatives. A2 contains mostly repetitive filler with no clear reasoning path, while A3-A5 provide only the final answer with no visible method. Thus there is minimal observable methodological diversity beyond one explicit definitional approach versus absent or undiscernible reasoning.",1,1e89b7735a6e,"{
  ""method_diversity_score"": 2,
  ""confidence"": 0.86,
  ""distinct_methods_count"": 2,
  ""coarse_method_tags_by_agent"": {
    ""A1"": [
      ""definition-based elimination"",
      ""embryology process recall""
    ],
    ""A2"": [
      ""incoherent/undiscernible reasoning""
    ],
    ""A3"": [
      ""answer-only/no visible reasoning""
    ],
    ""A4"": [
      ""answer-only/no visible reasoning""
    ],
    ""A5"": [
      ""answer-only/no visible reasoning""
    ]
  },
  ""rationale"": ""Only A1 shows a discernible method, using recalled definitions of embryological stages and eliminating alternatives. A2 contains mostly repetitive filler with no clear reasoning path, while A3-A5 provide only the final answer with no visible method. Thus there is minimal observable methodological diversity beyond one explicit definitional approach versus absent or undiscernible reasoning.""
}",prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.36096404744368116,0.8,0.0,0.6595075052803561,0.340492494719644,1.0
P7G0005,high_text_low_strategy,gpt-5.5,"{""A1"": [""answer-only/no-observable-reasoning""], ""A2"": [""answer-only/no-observable-reasoning""], ""A3"": [""answer-only/no-observable-reasoning""], ""A4"": [""answer-only/no-observable-reasoning""], ""A5"": [""brief passage-based option matching"", ""plausibility from stated context""]}",0.75,2,2,"Four agents provide only the final answer with no observable reasoning method, while one agent gives a brief and vague passage-based justification by matching option A to the described misery/despair of modern civilization. This creates only minimal observable method variation, with substantial overlap or absence of reasoning across most traces.",1,e668c65c8a2a,"{""method_diversity_score"":2,""confidence"":0.75,""distinct_methods_count"":2,""coarse_method_tags_by_agent"":{""A1"":[""answer-only/no-observable-reasoning""],""A2"":[""answer-only/no-observable-reasoning""],""A3"":[""answer-only/no-observable-reasoning""],""A4"":[""answer-only/no-observable-reasoning""],""A5"":[""brief passage-based option matching"",""plausibility from stated context""]},""rationale"":""Four agents provide only the final answer with no observable reasoning method, while one agent gives a brief and vague passage-based justification by matching option A to the described misery/despair of modern civilization. This creates only minimal observable method variation, with substantial overlap or absence of reasoning across most traces.""}",prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.2833462224894365,0.8250175801852049,0.0,0.38398718461949144,0.6160128153805086,1.0
P7G0006,low_text_high_strategy,gpt-5.5,"{""A1"": [""counterexample via leading-term cancellation"", ""cite standard theorem F[x] is PID""], ""A2"": [""counterexample via leading-term cancellation"", ""cite standard theorem F[x] is PID""], ""A3"": [""counterexample via leading-term cancellation"", ""cite standard theorem F[x] is PID""], ""A4"": [""case analysis of polynomial degree under addition"", ""counterexample via leading-term cancellation"", ""cite standard theorem F[x] is PID""], ""A5"": [""counterexample via leading-term cancellation"", ""cite standard theorem F[x] is PID"", ""brief proof sketch using division algorithm/minimal degree""]}",0.95,2,2,"All agents use essentially the same core reasoning: disprove the degree statement with cancellation of leading terms, then affirm the ideal statement by invoking the standard result that F[x] over a field is a PID. A4 adds a slightly fuller case analysis for the first statement, and A5 adds a brief proof sketch for the PID fact, but these are elaborations on the same overall method rather than genuinely distinct approaches.",1,11f7bfe474b4,"{
  ""method_diversity_score"": 2,
  ""confidence"": 0.95,
  ""distinct_methods_count"": 2,
  ""coarse_method_tags_by_agent"": {
    ""A1"": [
      ""counterexample via leading-term cancellation"",
      ""cite standard theorem F[x] is PID""
    ],
    ""A2"": [
      ""counterexample via leading-term cancellation"",
      ""cite standard theorem F[x] is PID""
    ],
    ""A3"": [
      ""counterexample via leading-term cancellation"",
      ""cite standard theorem F[x] is PID""
    ],
    ""A4"": [
      ""case analysis of polynomial degree under addition"",
      ""counterexample via leading-term cancellation"",
      ""cite standard theorem F[x] is PID""
    ],
    ""A5"": [
      ""counterexample via leading-term cancellation"",
      ""cite standard theorem F[x] is PID"",
      ""brief proof sketch using division algorithm/minimal degree""
    ]
  },
  ""rationale"": ""All agents use essentially the same core reasoning: disprove the degree statement with cancellation of leading terms, then affirm the ideal statement by invoking the standard result that F[x] over a field is a PID. A4 adds a slightly fuller case analysis for the first statement, and A5 adds a brief proof sketch for the PID fact, but these are elaborations on the same overall method rather than genuinely distinct approaches.""
}",prove_experiments\runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.6408554798501023,0.5768336837832027,0.7219280948873625,0.06874125657716124,0.9312587434228388,1.0
P7G0007,low_text_high_strategy,gpt-5.5,"{""A1"": [""scenario-by-scenario moral assessment"", ""multiple-choice option elimination""], ""A2"": [""scenario-by-scenario moral assessment"", ""multiple-choice option elimination""], ""A3"": [""scenario-by-scenario moral assessment"", ""multiple-choice option elimination""], ""A4"": [""scenario-by-scenario moral assessment"", ""multiple-choice option elimination""], ""A5"": [""scenario-by-scenario moral assessment"", ""multiple-choice option elimination""]}",0.98,1,1,"All agents use essentially the same reasoning method: independently judge each scenario under ordinary moral standards, conclude both actions are benign, then eliminate the multiple-choice options to select the one marking both as not wrong. Differences are only minor wording variations, with A3 briefly noting an allergy caveat, but this does not constitute a distinct reasoning path.",1,20896e21f6d8,"{""method_diversity_score"":1,""confidence"":0.98,""distinct_methods_count"":1,""coarse_method_tags_by_agent"":{""A1"":[""scenario-by-scenario moral assessment"",""multiple-choice option elimination""],""A2"":[""scenario-by-scenario moral assessment"",""multiple-choice option elimination""],""A3"":[""scenario-by-scenario moral assessment"",""multiple-choice option elimination""],""A4"":[""scenario-by-scenario moral assessment"",""multiple-choice option elimination""],""A5"":[""scenario-by-scenario moral assessment"",""multiple-choice option elimination""]},""rationale"":""All agents use essentially the same reasoning method: independently judge each scenario under ordinary moral standards, conclude both actions are benign, then eliminate the multiple-choice options to select the one marking both as not wrong. Differences are only minor wording variations, with A3 briefly noting an allergy caveat, but this does not constitute a distinct reasoning path.""}",prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.6448002482513866,0.5829113924050633,0.7219280948873625,0.0859558729080121,0.9140441270919879,1.0
P7G0008,low_strategy,gpt-5.5,"{""A1"": [""option-by-option elimination"", ""domain fact recall: cosmic-ray production in atmosphere""], ""A2"": [""option-by-option elimination"", ""domain fact recall: cosmic-ray production in atmosphere""], ""A3"": [""option-by-option elimination"", ""domain fact recall: cosmic-ray production in atmosphere""], ""A4"": [""option-by-option elimination"", ""domain fact recall: cosmic-ray production in atmosphere""], ""A5"": [""option-by-option elimination"", ""domain fact recall: cosmic-ray production in atmosphere""]}",0.98,1,1,"All agents use the same reasoning method: they evaluate each multiple-choice option in turn, cite the standard fact that carbon-14 is produced by cosmic-ray interactions with nitrogen in the upper atmosphere, and dismiss food as a reservoir, Earth's interior as irrelevant, and nuclear fallout as secondary. Differences are limited to wording and minor detail, not reasoning approach.",1,f4888ae525b1,"{""method_diversity_score"":1,""confidence"":0.98,""distinct_methods_count"":1,""coarse_method_tags_by_agent"":{""A1"":[""option-by-option elimination"",""domain fact recall: cosmic-ray production in atmosphere""],""A2"":[""option-by-option elimination"",""domain fact recall: cosmic-ray production in atmosphere""],""A3"":[""option-by-option elimination"",""domain fact recall: cosmic-ray production in atmosphere""],""A4"":[""option-by-option elimination"",""domain fact recall: cosmic-ray production in atmosphere""],""A5"":[""option-by-option elimination"",""domain fact recall: cosmic-ray production in atmosphere""]},""rationale"":""All agents use the same reasoning method: they evaluate each multiple-choice option in turn, cite the standard fact that carbon-14 is produced by cosmic-ray interactions with nitrogen in the upper atmosphere, and dismiss food as a reservoir, Earth's interior as irrelevant, and nuclear fallout as secondary. Differences are limited to wording and minor detail, not reasoning approach.""}",prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.20485054535735253,0.9680986269406266,0.0,0.06445949146491636,0.9355405085350836,1.0
P7G0009,low_text_high_strategy,gpt-5.5,"{""A1"": [""sequential truth-value evaluation"", ""constructive example Z^n"", ""rank-equals-generators criterion""], ""A2"": [""sequential truth-value evaluation"", ""constructive example Z^n"", ""structure theorem/torsion obstruction""], ""A3"": [""sequential truth-value evaluation"", ""constructive example Z^n"", ""counterexample-based torsion argument""], ""A4"": [""sequential truth-value evaluation"", ""constructive example Z^n"", ""rank-equals-generators criterion""], ""A5"": [""sequential truth-value evaluation"", ""constructive example Z^n"", ""structure theorem/torsion obstruction""]}",0.86,3,3,"All agents use the same overall format: evaluate each statement independently, cite Z^n for existence of free abelian groups, then map truth values to options. The only substantive variation is in the second statement: A1/A4 use a rank-equals-generators argument to conclude true, A2/A5 invoke torsion/structure-theorem reasoning to conclude false, and A3 gives a more example-oriented torsion argument. These are distinguishable but still rely on overlapping concepts about Betti number, rank, generators, and torsion, so diversity is moderate rather than high.",1,e83a88d607f5,"{""method_diversity_score"":3,""confidence"":0.86,""distinct_methods_count"":3,""coarse_method_tags_by_agent"":{""A1"":[""sequential truth-value evaluation"",""constructive example Z^n"",""rank-equals-generators criterion""],""A2"":[""sequential truth-value evaluation"",""constructive example Z^n"",""structure theorem/torsion obstruction""],""A3"":[""sequential truth-value evaluation"",""constructive example Z^n"",""counterexample-based torsion argument""],""A4"":[""sequential truth-value evaluation"",""constructive example Z^n"",""rank-equals-generators criterion""],""A5"":[""sequential truth-value evaluation"",""constructive example Z^n"",""structure theorem/torsion obstruction""]},""rationale"":""All agents use the same overall format: evaluate each statement independently, cite Z^n for existence of free abelian groups, then map truth values to options. The only substantive variation is in the second statement: A1/A4 use a rank-equals-generators argument to conclude true, A2/A5 invoke torsion/structure-theorem reasoning to conclude false, and A3 gives a more example-oriented torsion argument. These are distinguishable but still rely on overlapping concepts about Betti number, rank, generators, and torsion, so diversity is moderate rather than high.""}",prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.6883129304069695,0.529746835443038,0.7219280948873626,0.08671898344645379,0.9132810165535462,0.0
P7G0010,low_text_high_strategy,gpt-5.5,"{""A1"": [""standard microeconomics option elimination"", ""P=MC allocative efficiency"", ""MR=MC monopoly comparison"", ""P vs ATC profit/loss contingency"", ""deadweight loss reduction""], ""A2"": [""standard microeconomics option elimination"", ""P=MC allocative efficiency"", ""MR=MC monopoly comparison"", ""P vs ATC profit/loss contingency"", ""deadweight loss reduction""], ""A3"": [""standard microeconomics option elimination"", ""P=MC allocative efficiency"", ""MR=MC monopoly comparison"", ""P vs ATC profit/loss contingency"", ""deadweight loss reduction""], ""A4"": [""standard microeconomics option elimination"", ""P=MC allocative efficiency"", ""MR=MC monopoly comparison"", ""P vs ATC profit/loss contingency"", ""deadweight loss reduction""], ""A5"": [""standard microeconomics option elimination"", ""P=MC allocative efficiency"", ""MR=MC monopoly comparison"", ""P vs ATC profit/loss contingency"", ""deadweight loss reduction""]}",0.98,1,1,"All agents use essentially the same reasoning method: define allocative efficiency as P=MC, contrast it with monopoly profit maximization at MR=MC, evaluate each answer choice by comparing price to ATC for profit/loss possibilities, note the natural-monopoly caveat, and conclude that deadweight loss decreases as the necessary consequence. Differences are limited to wording, order, and emphasis, not reasoning approach.",1,feb65f13f8e6,"{""method_diversity_score"":1,""confidence"":0.98,""distinct_methods_count"":1,""coarse_method_tags_by_agent"":{""A1"":[""standard microeconomics option elimination"",""P=MC allocative efficiency"",""MR=MC monopoly comparison"",""P vs ATC profit/loss contingency"",""deadweight loss reduction""],""A2"":[""standard microeconomics option elimination"",""P=MC allocative efficiency"",""MR=MC monopoly comparison"",""P vs ATC profit/loss contingency"",""deadweight loss reduction""],""A3"":[""standard microeconomics option elimination"",""P=MC allocative efficiency"",""MR=MC monopoly comparison"",""P vs ATC profit/loss contingency"",""deadweight loss reduction""],""A4"":[""standard microeconomics option elimination"",""P=MC allocative efficiency"",""MR=MC monopoly comparison"",""P vs ATC profit/loss contingency"",""deadweight loss reduction""],""A5"":[""standard microeconomics option elimination"",""P=MC allocative efficiency"",""MR=MC monopoly comparison"",""P vs ATC profit/loss contingency"",""deadweight loss reduction""]},""rationale"":""All agents use essentially the same reasoning method: define allocative efficiency as P=MC, contrast it with monopoly profit maximization at MR=MC, evaluate each answer choice by comparing price to ATC for profit/loss possibilities, note the natural-monopoly caveat, and conclude that deadweight loss decreases as the necessary consequence. Differences are limited to wording, order, and emphasis, not reasoning approach.""}",prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.7040244361674404,0.6260288567540707,0.9814538950336537,0.05039720607723108,0.9496027939227689,1.0
