contrast,left_model,left_prompt_family,mean_family_diversity,mean_homogeneity,mean_major_distribution_distance,mean_major_diversity,mean_prompt_embedding_diversity,mean_trace_embedding_diversity,mean_trace_token_diversity,mean_vote_acc,n,prompt_mode,right_model,right_prompt_family,unit
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5679222183563623,0.575582041353358,0.3608,0.6362831936075962,0.17617782602504994,0.053559608957136844,0.19471158540155503,0.865,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5571798438255532,0.5895042114904678,0.378,0.615457748149308,0.17982316783396468,0.05297222984830612,0.19502202308819594,0.845,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,same_definition,0.6057708922876724,0.5186082110683247,0.4436,0.633396238301429,0.19230999082995615,0.05470207404461093,0.19575705152142917,0.855,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5933715170078783,0.5641543893700132,0.3944,0.6304134547241677,0.17617782602504994,0.06350895374992156,0.23250913347414734,0.88,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5801281630875045,0.5512766953012675,0.3918,0.6439934327814433,0.17982316783396468,0.06025801351579825,0.22149178059973262,0.865,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,same_definition,0.6116997029544089,0.48588100765837045,0.4628,0.6571624692820138,0.19230999082995615,0.06268725781824346,0.22463660133212512,0.875,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.6102352191339409,0.5234774656496363,0.3958,0.6466886905255699,0.17617782602504994,0.16365456951774854,0.41432638727102183,0.81,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.6042346475040102,0.5276838293457292,0.4108,0.6374614247484321,0.17982316783396468,0.17178409345521176,0.4266288405790954,0.83,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,same_definition,0.6243623793159926,0.4719778015305757,0.4918,0.654602656693888,0.19230999082995615,0.17290134585366465,0.42454411797813574,0.84,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5916941376435345,0.5628860944850107,0.3764,0.6492642278318393,0.17617782602504994,0.0620829946068352,0.2234524969635376,0.92,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5969186505005593,0.5672542509930404,0.3564,0.6349017872606479,0.17982316783396468,0.05777745608495409,0.21746791063151089,0.925,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,deepseek-chat,same_definition,0.6180475675972744,0.5159187672208195,0.4208,0.6272458943503546,0.19230999082995615,0.05899933991843374,0.21853292151729065,0.935,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.6011877009366167,0.5183018856866386,0.4382,0.6325027498920088,0.17617782602504994,0.05501275724143036,0.19660448311187279,0.855,100,family,deepseek-chat,same_definition,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.5180070167144671,0.6520230722761132,0.3478,0.5421997201074449,0.17982316783396468,0.0516707425332313,0.18670425186790765,0.85,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,0.5303427294796058,0.6320993549472427,0.3472,0.564343012979603,0.19230999082995615,0.05158373971896523,0.1859608038686619,0.87,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.48077657734072715,0.7485220024161418,0.2008,0.379587509578259,0.17617782602504994,0.05320519338826514,0.1524619905664513,0.835,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.4532301155765733,0.7466724404909908,0.2112,0.39246603402230673,0.17982316783396468,0.048088956918562464,0.141186533907648,0.82,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,0.4868203225545601,0.7187491598681403,0.2248,0.4441828143240843,0.19230999082995615,0.047416548809269835,0.14053253802255197,0.84,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.49544343666320123,0.7038429948000602,0.1906,0.38863857789436623,0.17617782602504994,0.15943731110440743,0.3584758404582072,0.765,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.47557455118092945,0.7181262381969052,0.2066,0.36834823451245435,0.17982316783396468,0.16732254357198084,0.3736446472508007,0.785,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
