parent_id,seed,update_index,arm,target_member,branch_type,is_conversion_eligible,conversion_responsibility_count,direct_vote_flip_count,candidate_stage,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,train_target_delta,train_vote_delta,train_oracle_delta,validation_target_delta,validation_vote_delta,validation_oracle_delta,validation_deeper_support_gain,validation_vote_conversions,branch_rank,cell_rank,cell_winner,would_commit
prospective_seed56_u4,56,4,HYBRID_BASE,2,exploit,1,4,3,source,1,1,passed,,7,8,1,-3,1,2,2,2,1,1,1,1
prospective_seed56_u4,56,4,HYBRID_BASE,2,exploit,1,4,3,source,1,1,passed,,4,6,1,-4,1,2,2,2,2,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,2,exploit,1,4,3,revision,1,1,passed,,3,5,1,-4,2,3,3,3,3,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,2,exploit,1,4,3,revision,1,1,passed,,5,4,2,0,3,1,4,3,4,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,4,base_explore,1,3,0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-8,0,-1,-1,0,-1,0,0,,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,4,base_explore,1,3,0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-12,0,-1,3,0,-1,2,0,,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,4,base_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-3,0,-1,0,0,0,0,0,,,0,0
prospective_seed56_u4,56,4,HYBRID_BASE,4,base_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-1,0,0,2,0,1,0,0,,,0,0
prospective_seed56_u4,56,4,HYBRID_BREADTH_PRIORITY,2,exploit,1,4,3,source,1,1,passed,,7,8,1,-3,1,2,2,2,1,1,1,1
prospective_seed56_u4,56,4,HYBRID_BREADTH_PRIORITY,2,exploit,1,4,3,source,1,1,passed,,4,6,1,-4,1,2,2,2,2,,0,0
prospective_seed56_u4,56,4,HYBRID_BREADTH_PRIORITY,2,exploit,1,4,3,revision,1,1,passed,,3,5,1,-4,2,3,3,3,3,,0,0
prospective_seed56_u4,56,4,HYBRID_BREADTH_PRIORITY,2,exploit,1,4,3,revision,1,1,passed,,5,4,2,0,3,1,4,3,4,,0,0
prospective_seed56_u4,56,4,HYBRID_DIRECT_FLIP_PRIORITY,2,exploit,1,4,3,source,1,1,passed,,7,8,1,-3,1,2,2,2,1,1,1,1
prospective_seed56_u4,56,4,HYBRID_DIRECT_FLIP_PRIORITY,2,exploit,1,4,3,source,1,1,passed,,4,6,1,-4,1,2,2,2,2,,0,0
prospective_seed56_u4,56,4,HYBRID_DIRECT_FLIP_PRIORITY,2,exploit,1,4,3,revision,1,1,passed,,3,5,1,-4,2,3,3,3,3,,0,0
prospective_seed56_u4,56,4,HYBRID_DIRECT_FLIP_PRIORITY,2,exploit,1,4,3,revision,1,1,passed,,5,4,2,0,3,1,4,3,4,,0,0
prospective_seed56_u7,56,7,HYBRID_BREADTH_PRIORITY,4,breadth_explore,1,5,0,source,1,0,rejected,no_target_or_vote_progress|target_regression|team_vote_regression,-7,-3,-1,1,0,-1,3,0,,,0,0
prospective_seed56_u7,56,7,HYBRID_BREADTH_PRIORITY,4,breadth_explore,1,5,0,source,1,0,rejected,no_target_or_vote_progress|target_regression|team_vote_regression,-5,-1,-2,0,-1,-2,1,0,,,0,0
prospective_seed56_u7,56,7,HYBRID_BREADTH_PRIORITY,4,breadth_explore,1,5,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression|team_vote_regression,-1,-3,-1,3,0,-1,1,0,,,0,0
prospective_seed56_u7,56,7,HYBRID_BREADTH_PRIORITY,4,breadth_explore,1,5,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression|team_vote_regression,-2,-1,-1,-1,0,-1,1,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BASE,3,exploit,1,6,0,source,1,0,rejected,no_target_or_vote_progress,0,0,-3,-5,0,-1,0,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BASE,3,exploit,1,6,0,source,1,1,passed,,3,0,-2,-8,0,-1,0,0,1,1,1,1
prospective_seed57_u7,57,7,HYBRID_BASE,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-4,0,-1,1,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BASE,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-5,0,-1,0,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BREADTH_PRIORITY,3,exploit,1,6,0,source,1,0,rejected,no_target_or_vote_progress,0,0,-3,-5,0,-1,0,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BREADTH_PRIORITY,3,exploit,1,6,0,source,1,1,passed,,3,0,-2,-8,0,-1,0,0,1,1,1,1
prospective_seed57_u7,57,7,HYBRID_BREADTH_PRIORITY,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-4,0,-1,1,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_BREADTH_PRIORITY,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-5,0,-1,0,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_DIRECT_FLIP_PRIORITY,3,exploit,1,6,0,source,1,0,rejected,no_target_or_vote_progress,0,0,-3,-5,0,-1,0,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_DIRECT_FLIP_PRIORITY,3,exploit,1,6,0,source,1,1,passed,,3,0,-2,-8,0,-1,0,0,1,1,1,1
prospective_seed57_u7,57,7,HYBRID_DIRECT_FLIP_PRIORITY,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-4,0,-1,1,0,,,0,0
prospective_seed57_u7,57,7,HYBRID_DIRECT_FLIP_PRIORITY,3,exploit,1,6,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-7,0,-2,-5,0,-1,0,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BASE,1,base_explore,1,3,0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-3,0,3,0,0,1,5,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BASE,1,base_explore,1,3,0,source,1,1,passed,,3,0,4,-1,0,1,4,0,1,1,1,1
prospective_seed58_u6,58,6,HYBRID_BASE,1,base_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-10,0,4,-1,0,1,4,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BASE,1,base_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-1,0,6,-6,0,0,1,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BREADTH_PRIORITY,1,breadth_explore,1,3,0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-3,0,3,0,0,1,5,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BREADTH_PRIORITY,1,breadth_explore,1,3,0,source,1,1,passed,,3,0,4,-1,0,1,4,0,1,1,1,1
prospective_seed58_u6,58,6,HYBRID_BREADTH_PRIORITY,1,breadth_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-10,0,4,-1,0,1,4,0,,,0,0
prospective_seed58_u6,58,6,HYBRID_BREADTH_PRIORITY,1,breadth_explore,1,3,0,revision,1,0,rejected,no_target_or_vote_progress|target_regression,-1,0,6,-6,0,0,1,0,,,0,0
