degraded_agent_entries,degraded_questions,questions,repaired_questions,run_name,unresolved_agent_entries
0,0,100,0,P4_mixed_strategy_deepseek_chat_seed42,0
98,27,100,0,P4_mixed_strategy_gemini_flash_lite_seed42,0
0,0,100,0,P4_mixed_strategy_gpt4omini_seed42,0
100,59,100,0,P4_mixed_strategy_qwen25_7b_seed42,0
1,1,100,0,P4_same_definition_deepseek_chat_seed42,0
85,25,100,0,P4_same_definition_gemini_flash_lite_seed42,0
0,0,100,0,P4_same_definition_gpt4omini_seed42,0
134,55,100,0,P4_same_definition_qwen25_7b_seed42,0
1,1,100,0,P4_same_elimination_deepseek_chat_seed42,0
98,26,100,0,P4_same_elimination_gemini_flash_lite_seed42,0
0,0,100,0,P4_same_elimination_gpt4omini_seed42,0
145,68,100,0,P4_same_elimination_qwen25_7b_seed42,0
