seed,update_index,target_agent_id,preservation_rank,question_hash,tier,observed_correct_state_count,parent_margin,removed_margin
48,0,3,1,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,P2_COALITION_SUPPORT,1,5,4
48,0,3,2,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,P2_COALITION_SUPPORT,1,5,4
48,0,3,3,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,P2_COALITION_SUPPORT,1,5,4
48,0,3,4,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P2_COALITION_SUPPORT,1,5,4
48,0,3,5,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,P2_COALITION_SUPPORT,1,5,4
48,0,3,6,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,P2_COALITION_SUPPORT,1,5,4
48,0,1,1,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,P2_COALITION_SUPPORT,1,5,4
48,0,1,2,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,P2_COALITION_SUPPORT,1,5,4
48,0,1,3,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,P2_COALITION_SUPPORT,1,5,4
48,0,1,4,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P2_COALITION_SUPPORT,1,5,4
48,0,1,5,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,P2_COALITION_SUPPORT,1,5,4
48,0,1,6,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,P2_COALITION_SUPPORT,1,5,4
48,1,1,1,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,P2_COALITION_SUPPORT,2,5,4
48,1,1,2,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,P2_COALITION_SUPPORT,2,5,4
48,1,1,3,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,P2_COALITION_SUPPORT,2,5,4
48,1,1,4,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,P2_COALITION_SUPPORT,2,5,4
48,1,1,5,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,P2_COALITION_SUPPORT,2,5,4
48,1,1,6,28002f5c5b85d3e013568bad39c1e746339800e201423b86a5287eaf77992a40,P2_COALITION_SUPPORT,2,5,4
48,1,0,1,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,P2_COALITION_SUPPORT,2,5,4
48,1,0,2,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,P2_COALITION_SUPPORT,2,5,4
48,1,0,3,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,P2_COALITION_SUPPORT,2,5,4
48,1,0,4,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P2_COALITION_SUPPORT,2,3,2
48,1,0,5,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,P2_COALITION_SUPPORT,2,5,4
48,1,0,6,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,P2_COALITION_SUPPORT,2,5,4
48,2,4,1,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P1_VOTE_CRITICAL,3,1,0
48,2,4,2,60e9b58648541ab9b7ca64a19594c6c0f0053b54cc5c1071a0ed5809d05fe835,P1_VOTE_CRITICAL,3,1,0
48,2,4,3,67bfcd3c5d850af456066a5555aee26dd15058807bb9d1215e6268737cc71928,P1_VOTE_CRITICAL,3,1,0
48,2,4,4,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,P1_VOTE_CRITICAL,3,1,0
48,2,4,5,e2ed6ca2a4a75717c23060340ff5cc1e63b1197753437bfb370629f3c83d91f5,P1_VOTE_CRITICAL,3,1,0
48,2,4,6,f039c420e78404ff03ff216d25a34e192a50a9d8e927d289cc65655d4b003dbb,P1_VOTE_CRITICAL,3,1,0
48,2,2,1,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P1_VOTE_CRITICAL,3,1,0
48,2,2,2,60e9b58648541ab9b7ca64a19594c6c0f0053b54cc5c1071a0ed5809d05fe835,P1_VOTE_CRITICAL,3,1,0
48,2,2,3,67bfcd3c5d850af456066a5555aee26dd15058807bb9d1215e6268737cc71928,P1_VOTE_CRITICAL,3,1,0
48,2,2,4,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,P1_VOTE_CRITICAL,3,1,0
48,2,2,5,e2ed6ca2a4a75717c23060340ff5cc1e63b1197753437bfb370629f3c83d91f5,P1_VOTE_CRITICAL,3,1,0
48,2,2,6,f039c420e78404ff03ff216d25a34e192a50a9d8e927d289cc65655d4b003dbb,P1_VOTE_CRITICAL,3,1,0
48,3,4,1,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P1_VOTE_CRITICAL,4,1,0
48,3,4,2,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,P1_VOTE_CRITICAL,1,1,0
48,3,4,3,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,P1_VOTE_CRITICAL,1,1,0
48,3,4,4,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,P1_VOTE_CRITICAL,1,1,0
48,3,4,5,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,P1_VOTE_CRITICAL,1,1,0
48,3,4,6,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,P1_VOTE_CRITICAL,1,1,0
48,3,1,1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,P1_VOTE_CRITICAL,3,1,0
48,3,1,2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,P1_VOTE_CRITICAL,3,1,0
48,3,1,3,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,P1_VOTE_CRITICAL,3,1,0
48,3,1,4,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,P1_VOTE_CRITICAL,3,1,0
48,3,1,5,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,P1_VOTE_CRITICAL,3,1,0
48,3,1,6,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,P1_VOTE_CRITICAL,3,1,0
48,4,4,1,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,P1_VOTE_CRITICAL,4,1,0
48,4,4,2,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,P1_VOTE_CRITICAL,1,1,0
48,4,4,3,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,P1_VOTE_CRITICAL,1,1,0
48,4,4,4,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,P1_VOTE_CRITICAL,1,1,0
48,4,4,5,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,P1_VOTE_CRITICAL,1,1,0
48,4,4,6,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,P1_VOTE_CRITICAL,1,1,0
