probe_kind,run_name,model,agent_id,target_label,target_major_label,primary,secondary,primary_major,secondary_major,exact_hit,primary_exact_hit,secondary_exact_hit,same_major_primary_hit,same_major_any_hit,agent_answer_correct
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,concept_definition_match,option_contradiction_check,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,algebraic_derivation,equation_solving,algebra_computation,algebra_computation,0,0,0,0,0,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,algebraic_derivation,equation_solving,algebra_computation,algebra_computation,0,0,0,0,0,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,algebraic_derivation,equation_solving,algebra_computation,algebra_computation,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,algebraic_derivation,equation_solving,algebra_computation,algebra_computation,0,0,0,0,0,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,algebraic_derivation,edge_case_analysis,algebra_computation,optimization_boundary_meta,1,0,1,1,1,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,option_contrast,distractor_elimination,mmlu_option_semantics,mmlu_option_semantics,1,0,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,concept_definition_match,option_contrast,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,option_contrast,distractor_elimination,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,option_contrast,distractor_elimination,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,decomposition,option_contrast,representation_formalization,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,option_contrast,distractor_elimination,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,option_contrast,option_contrast,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,0
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,option_contrast,answer_to_stem_backward_check,mmlu_option_semantics,mmlu_option_semantics,0,0,0,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,statistical_method_reasoning,historical_context_reasoning,mmlu_domain_reasoning,mmlu_domain_reasoning,0,0,0,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,option_contrast,answer_to_stem_backward_check,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,option_contrast,answer_to_stem_backward_check,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,counterexample_search,consistency_verification,logical_proof,logical_proof,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,case_analysis,consistency_verification,logical_proof,logical_proof,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,counterexample_search,rule_or_principle_application,logical_proof,mmlu_domain_reasoning,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,counterexample_search,consistency_verification,logical_proof,logical_proof,0,0,0,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,counterexample_search,consistency_verification,logical_proof,logical_proof,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,concept_definition_match,concept_definition_match,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,concept_definition_match,option_contrast,mmlu_option_semantics,mmlu_option_semantics,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,0,distractor_elimination,mmlu_option_semantics,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,1,rule_or_principle_application,mmlu_domain_reasoning,symbolic_formulation,symbolic_formulation,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,2,decomposition,representation_formalization,decomposition,decomposition,representation_formalization,representation_formalization,1,1,1,1,1,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,3,case_analysis,logical_proof,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
mixed,P3_mixed_strategy_deepseek_chat_seed42,deepseek-chat,4,edge_case_analysis,optimization_boundary_meta,decomposition,decomposition,representation_formalization,representation_formalization,0,0,0,0,0,1
