contrast,left_model,left_prompt_family,left_run,major_distribution_distance,question_hash,right_model,right_prompt_family,right_run
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.5999999999999999,de566530eac3,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.39999999999999997,de566530eac3,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.54,de566530eac3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
same_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.5399999999999999,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
same_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6000000000000001,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.6,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.54,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,1.1102230246251565e-16,de566530eac3,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.20000000000000004,de566530eac3,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.4,de566530eac3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.8,de566530eac3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.34,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.19999999999999993,de566530eac3,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42
different_model_same_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.3999999999999999,de566530eac3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.7999999999999999,de566530eac3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
same_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.3399999999999999,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
same_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.19999999999999987,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,1.1102230246251565e-16,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42,0.19999999999999987,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.4,de566530eac3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.5999999999999999,de566530eac3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
same_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.34,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000007,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
same_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000004,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42,0.20000000000000007,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.6,de566530eac3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
same_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.059999999999999984,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.20000000000000004,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.4,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
same_model_different_prompt_family,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42,0.20000000000000004,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_same_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_same_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_same_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.6599999999999999,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
same_model_different_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.6000000000000001,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42,0.8,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.0,de566530eac3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.34,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.0,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
same_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_same_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.34,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.0,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
same_model_different_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.34,de566530eac3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.0,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
same_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_different_prompt_family,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42,0.34,de566530eac3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
